n p2.5 est p97.5
0 -0.24 -0.167 -0.086
1 -0.323 -0.266 -0.208
2 -0.455 -0.366 -0.275
3 -0.603 -0.465 -0.319
4 -0.752 -0.564 -0.355
5 -0.915 -0.664 -0.394
6 -1.082 -0.763 -0.432
