n p2.5 est p97.5
0 -0.357 -0.115 0.179
1 -0.333 -0.142 0.035
2 -0.36 -0.17 -0.022
3 -0.511 -0.205 -0.017
4 -0.651 -0.241 0.046
5 -0.836 -0.277 0.119
6 -1.018 -0.316 0.182
