// {"zmw_effect":["0.4"],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[4],"dataset_start":[57],"z_bin":[true],"m_bin":[true]}
// {"ubeta":[0.3432],"mbeta":[-0.3376,-0.1796,0.4,0.336],"wbeta":[0.8976,1.6244,0.4,-1.7074],"abeta":[1.0187,-0.856,-1.5998,1.8163],"ybeta":[1.8488,1.0468,0.858,1.9865,0.0251,-0.0402],"zbeta":[-0.8905,1.2543,-0.9583],"cbeta":[-1.9642,-0.825],"sd_":[1],"true_effect":[0.9582]}
method,estimate,mean,width,coverage
truth,0.958169856178443,0,0,1
backdoor,-0.0503811792996028,-0.0276680226736241,0.279317033216511,1
naive,-0.985171535502483,-0.983375056671108,0.206320363847408,0
simple,-0.0333949752494995,-0.0230525875083787,0.355959299408969,1
pfd,-0.145394251116953,-0.167227290146508,0.376357180601116,1
