// {"uw_effect":["0.4"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"zmw_effect":["NA"],"uz_effect":["0.4"],"sample_sizes":["4000"],"save":[true],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[1],"dataset_start":[13],"outdir":["results/"]}
// {"ubeta":[-0.938],"mbeta":[1.0794,-0.0092,0.8705,1.9676],"wbeta":[1.7787,0.4,0.5165,-1.7529],"abeta":[-1.1761,-1.2938,0.7481,-0.4636],"ybeta":[-0.4799,1.1098,1.7388,-1.1514,0.6067,-1.4978],"zbeta":[1.6328,0.4,1.5936],"cbeta":[-0.5115,0.2914],"sd_":[1],"true_effect":[1.1175]}
method,estimate,mean,width,coverage
truth,1.11749393232826,0,0,1
backdoor,0.0499490549693618,0.0591084211868036,0.184344382834566,1
naive,-1.11124506014458,-1.10703113845302,0.117512249141921,0
simple,-1.64443601217717,-1.6354959743266,0.24924588340049,0
pfd,-0.0727039223009101,0.0115337486791272,1.13216959753038,1
