// {"ay_effect":["0.2"],"m_bin":[false],"z_bin":[false],"uz_effect":["NA"],"uw_effect":["NA"],"zmw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[1],"n_dgps":[1],"dgp_start":[4],"dataset_start":[58]}
// {"ubeta":[0.3432],"mbeta":[-0.3376,-0.1796,1.8842,0.336],"wbeta":[0.8976,1.6244,1.7962,-1.7074],"abeta":[1.0187,-0.856,-1.5998,1.8163],"ybeta":[1.8488,0.2,0.858,1.9865,0.0251,-0.0402],"zbeta":[-0.8905,1.2543,-0.9583],"cbeta":[-1.9642,-0.825],"sd_":[1],"true_effect":[-0.1648]}
method,estimate,mean,width,coverage
truth,-0.164838754352265,0,0,1
backdoor,-0.129593870228351,-0.137158559995274,0.421508752660145,1
naive,-0.226169478059026,-0.237475454303124,0.44600534831745,1
simple,0.265103283330249,0.267489149053704,0.279885668112898,0
pfd,-0.18429797656194,-0.170349750906818,0.556829695808198,1
