// {"uw_effect":["0.4"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"zmw_effect":["NA"],"uz_effect":["0.4"],"sample_sizes":["4000"],"save":[true],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[3],"dataset_start":[49],"outdir":["results/"]}
// {"ubeta":[-1.3278],"mbeta":[1.4717,1.3188,-1.5542,0.8148],"wbeta":[-1.5015,0.4,0.3104,0.5239],"abeta":[0.0481,0.0201,0.1361,0.229],"ybeta":[1.59,-0.8811,-1.0872,-1.9387,-1.4841,-1.6265],"zbeta":[-0.6891,0.4,0.4176],"cbeta":[1.2301,-0.4602],"sd_":[1],"true_effect":[-4.0455]}
method,estimate,mean,width,coverage
truth,-4.04547641266264,0,0,1
backdoor,0.0126284599548496,0.0285217867616678,0.363296879866682,1
naive,0.541549453104562,0.528408577053748,0.30069011209437,0
simple,3.4364340276711,3.47657334156322,0.96440095611353,0
pfd,0.191691788980166,0.153506830967659,1.21946150131489,1
