// {"uw_effect":["0.4"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"zmw_effect":["NA"],"uz_effect":["0.4"],"sample_sizes":["4000"],"save":[true],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[3],"dataset_start":[53],"outdir":["results/"]}
// {"ubeta":[-1.3278],"mbeta":[1.4717,1.3188,-1.5542,0.8148],"wbeta":[-1.5015,0.4,0.3104,0.5239],"abeta":[0.0481,0.0201,0.1361,0.229],"ybeta":[1.59,-0.8811,-1.0872,-1.9387,-1.4841,-1.6265],"zbeta":[-0.6891,0.4,0.4176],"cbeta":[1.2301,-0.4602],"sd_":[1],"true_effect":[-4.0455]}
method,estimate,mean,width,coverage
truth,-4.04547641266264,0,0,1
backdoor,0.0531109707829813,0.0522805473709922,0.350784946908024,1
naive,0.728297694102197,0.714596458167867,0.325571722769822,0
simple,3.60335029832299,3.6051870195703,0.78713670836128,0
pfd,0.19937292530285,0.240142626048801,1.07950939700457,1
