// {"zmw_effect":["0.4"],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[3],"dataset_start":[25],"z_bin":[true],"m_bin":[true]}
// {"ubeta":[-1.3278],"mbeta":[1.4717,1.3188,0.4,0.8148],"wbeta":[-1.5015,-0.8216,0.4,0.5239],"abeta":[0.0481,0.0201,0.1361,0.229],"ybeta":[1.59,-0.8811,-1.0872,-1.9387,-1.4841,-1.6265],"zbeta":[-0.6891,0.4084,0.4176],"cbeta":[1.2301,-0.4602],"sd_":[1],"true_effect":[-1.1724]}
method,estimate,mean,width,coverage
truth,-1.17237510479554,0,0,1
backdoor,0.215482469519423,0.210650971365742,0.253423011252686,0
naive,1.04510970947237,1.03926015371553,0.0771891843098043,0
simple,0.211110532999306,0.223915090201944,0.207035820348922,0
pfd,0.276984281297766,0.270028876856697,0.292737912929315,0
