// {"zmw_effect":["0"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[1],"dataset_start":[1]}
// {"ubeta":[-0.938],"mbeta":[1.0794,-0.0092,0,1.9676],"wbeta":[1.7787,0.6432,0,-1.7529],"abeta":[-1.1761,-1.2938,0.7481,-0.4636],"ybeta":[-0.4799,1.1098,1.7388,-1.1514,0.6067,-1.4978],"zbeta":[1.6328,-1.1933,1.5936],"cbeta":[-0.5115,0.2914],"sd_":[1],"true_effect":[1.1204]}
method,estimate,mean,width,coverage
truth,1.12037753123899,0,0,1
backdoor,-0.0858087227173252,-0.0788124998275523,0.26339037471681,1
naive,-1.14860424171789,-1.1547453348959,0.159884208628562,0
simple,-0.272548634600727,-0.283811662837099,0.5119131628028,1
pfd,-0.218753075734626,-0.22785909313466,0.660168208116797,1
