// {"zmw_effect":["0.4"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[3],"dataset_start":[33]}
// {"ubeta":[-1.3278],"mbeta":[1.4717,1.3188,0.4,0.8148],"wbeta":[-1.5015,-0.8216,0.4,0.5239],"abeta":[0.0481,0.0201,0.1361,0.229],"ybeta":[1.59,-0.8811,-1.0872,-1.9387,-1.4841,-1.6265],"zbeta":[-0.6891,0.4084,0.4176],"cbeta":[1.2301,-0.4602],"sd_":[1],"true_effect":[-4.2208]}
method,estimate,mean,width,coverage
truth,-4.22076818549332,0,0,1
backdoor,-0.0257490028075935,-0.0433564013682171,0.366157445585801,1
naive,0.590031130828672,0.606279395902955,0.369690822300624,0
simple,-8.48796079743141,-9.10830208190932,12.376402301207,0
pfd,-0.00463296414744097,-0.0103235570583715,0.36225639649226,1
