// {"zmw_effect":["0.8"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[3],"dataset_start":[1]}
// {"ubeta":[-1.3278],"mbeta":[1.4717,1.3188,0.8,0.8148],"wbeta":[-1.5015,-0.8216,0.8,0.5239],"abeta":[0.0481,0.0201,0.1361,0.229],"ybeta":[1.59,-0.8811,-1.0872,-1.9387,-1.4841,-1.6265],"zbeta":[-0.6891,0.4084,0.4176],"cbeta":[1.2301,-0.4602],"sd_":[1],"true_effect":[-5.0037]}
method,estimate,mean,width,coverage
truth,-5.00366742074594,0,0,1
backdoor,0.0748606325241914,0.0886950439676388,0.426498303460031,1
naive,0.670916258919728,0.666600152864242,0.297893396626171,0
simple,6.26761153148499,6.28990476135883,1.09637836580371,0
pfd,0.0372381205955721,-0.000205707127959975,0.460528370126733,1
