// {"zmw_effect":["0"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[3],"dataset_start":[37]}
// {"ubeta":[-1.3278],"mbeta":[1.4717,1.3188,0,0.8148],"wbeta":[-1.5015,-0.8216,0,0.5239],"abeta":[0.0481,0.0201,0.1361,0.229],"ybeta":[1.59,-0.8811,-1.0872,-1.9387,-1.4841,-1.6265],"zbeta":[-0.6891,0.4084,0.4176],"cbeta":[1.2301,-0.4602],"sd_":[1],"true_effect":[-3.4379]}
method,estimate,mean,width,coverage
truth,-3.4378689502407,0,0,1
backdoor,-0.0926948433447898,-0.0771909400230686,0.299660681815492,1
naive,0.566123833315618,0.564564110653059,0.239441353898498,0
simple,-0.0864268276513647,-0.0878026141400094,0.32284234997691,1
pfd,-0.119041958774918,-0.118949374471874,0.306658387320926,1
