// {"uw_effect":["0.2"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"zmw_effect":["NA"],"uz_effect":["0.2"],"sample_sizes":["4000"],"save":[true],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[4],"dataset_start":[25],"outdir":["results/"]}
// {"ubeta":[0.3432],"mbeta":[-0.3376,-0.1796,1.8842,0.336],"wbeta":[0.8976,0.2,1.7962,-1.7074],"abeta":[1.0187,-0.856,-1.5998,1.8163],"ybeta":[1.8488,1.0468,0.858,1.9865,0.0251,-0.0402],"zbeta":[-0.8905,0.2,-0.9583],"cbeta":[-1.9642,-0.825],"sd_":[1],"true_effect":[0.682]}
method,estimate,mean,width,coverage
truth,0.681970858421094,0,0,1
backdoor,0.00699491265196439,0.0166874514671496,0.482621938481224,1
naive,-1.1449245486742,-1.15507172398708,0.425670960858382,0
simple,0.360534012220221,0.352181344644294,0.397673697563395,0
pfd,-0.143035994859617,-0.221468315968713,0.858057958768332,1
