// {"zmw_effect":["0.4"],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[4],"dataset_start":[57],"z_bin":[true],"m_bin":[true]}
// {"ubeta":[0.3432],"mbeta":[-0.3376,-0.1796,0.4,0.336],"wbeta":[0.8976,1.6244,0.4,-1.7074],"abeta":[1.0187,-0.856,-1.5998,1.8163],"ybeta":[1.8488,1.0468,0.858,1.9865,0.0251,-0.0402],"zbeta":[-0.8905,1.2543,-0.9583],"cbeta":[-1.9642,-0.825],"sd_":[1],"true_effect":[0.9582]}
method,estimate,mean,width,coverage
truth,0.958169856178443,0,0,1
backdoor,-0.048081705032051,-0.0326124398328793,0.343332349916394,1
naive,-1.03378366931656,-1.03589991041782,0.195884641042978,0
simple,-0.0218578329363813,-0.0463501629181396,0.331763413964122,1
pfd,-0.0412818298776411,-0.0208638808715198,0.362298627325594,1
