// {"uw_effect":["0.4"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"zmw_effect":["NA"],"uz_effect":["0.4"],"sample_sizes":["4000"],"save":[true],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[1],"dataset_start":[25],"outdir":["results/"]}
// {"ubeta":[-0.938],"mbeta":[1.0794,-0.0092,0.8705,1.9676],"wbeta":[1.7787,0.4,0.5165,-1.7529],"abeta":[-1.1761,-1.2938,0.7481,-0.4636],"ybeta":[-0.4799,1.1098,1.7388,-1.1514,0.6067,-1.4978],"zbeta":[1.6328,0.4,1.5936],"cbeta":[-0.5115,0.2914],"sd_":[1],"true_effect":[1.1175]}
method,estimate,mean,width,coverage
truth,1.11749393232826,0,0,1
backdoor,0.0230422214262793,0.0349146167587402,0.196983171696772,1
naive,-1.0905238846747,-1.09697602961923,0.0921251323696345,0
simple,-1.58643950877933,-1.59315840508069,0.286195266943989,0
pfd,1.52411666173833,2.29518511382856,8.67740224703124,1
