// {"uw_effect":["0.2"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"zmw_effect":["NA"],"uz_effect":["0.2"],"sample_sizes":["4000"],"save":[true],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[3],"dataset_start":[17],"outdir":["results/"]}
// {"ubeta":[-1.3278],"mbeta":[1.4717,1.3188,-1.5542,0.8148],"wbeta":[-1.5015,0.2,0.3104,0.5239],"abeta":[0.0481,0.0201,0.1361,0.229],"ybeta":[1.59,-0.8811,-1.0872,-1.9387,-1.4841,-1.6265],"zbeta":[-0.6891,0.2,0.4176],"cbeta":[1.2301,-0.4602],"sd_":[1],"true_effect":[-4.0455]}
method,estimate,mean,width,coverage
truth,-4.04547641266264,0,0,1
backdoor,0.138974732665141,0.147273451578372,0.336349500083804,1
naive,0.70341938669592,0.69785228783614,0.372561919185596,0
simple,2.84398071488627,2.83020658371144,0.673634234396949,0
pfd,-0.320434345504089,-0.267319557994484,1.07715809954914,1
