// {"zmw_effect":["0.2"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[1],"dataset_start":[53]}
// {"ubeta":[-0.938],"mbeta":[1.0794,-0.0092,0.2,1.9676],"wbeta":[1.7787,0.6432,0.2,-1.7529],"abeta":[-1.1761,-1.2938,0.7481,-0.4636],"ybeta":[-0.4799,1.1098,1.7388,-1.1514,0.6067,-1.4978],"zbeta":[1.6328,-1.1933,1.5936],"cbeta":[-0.5115,0.2914],"sd_":[1],"true_effect":[1.1193]}
method,estimate,mean,width,coverage
truth,1.11926084446207,0,0,1
backdoor,0.0746764119558174,0.0739473778837236,0.253335397948229,1
naive,-1.04761482297462,-1.04972874393216,0.147483076502236,0
simple,0.389292747490931,0.374496239611835,0.888791235973048,1
pfd,-0.167901847549073,-0.169022314819297,0.8162190839746,1
