// {"zmw_effect":["0.8"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[1],"dataset_start":[57]}
// {"ubeta":[-0.938],"mbeta":[1.0794,-0.0092,0.8,1.9676],"wbeta":[1.7787,0.6432,0.8,-1.7529],"abeta":[-1.1761,-1.2938,0.7481,-0.4636],"ybeta":[-0.4799,1.1098,1.7388,-1.1514,0.6067,-1.4978],"zbeta":[1.6328,-1.1933,1.5936],"cbeta":[-0.5115,0.2914],"sd_":[1],"true_effect":[1.1159]}
method,estimate,mean,width,coverage
truth,1.11591078413132,0,0,1
backdoor,0.00604619025252573,0.0129698230876203,0.201785121295204,1
naive,-1.11551489116732,-1.10792516085281,0.0945725027798349,0
simple,-1.77409179639997,-1.76735043968199,0.761737249159804,0
pfd,0.0466273791259515,0.0752129159945392,0.933090837209866,1
