// {"zmw_effect":["0.8"],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[2],"dataset_start":[29],"z_bin":[true],"m_bin":[true]}
// {"ubeta":[-1.2605],"mbeta":[-0.3789,1.4142,0.8,-1.0967],"wbeta":[-1.4834,1.3338,0.8,0.1999],"abeta":[0.2107,-1.0444,1.0421,-1.2767],"ybeta":[-0.2208,-1.7001,0.6476,-0.4498,1.3476,-1.398],"zbeta":[-1.3278,1.7754,1.7739],"cbeta":[0.8095,0.2933],"sd_":[1],"true_effect":[-1.5001]}
method,estimate,mean,width,coverage
truth,-1.5001048674761,0,0,1
backdoor,0.0344183206495079,0.029837431668277,0.292245717981991,1
naive,1.44444225899232,1.44236202700229,0.129082970354258,0
simple,-0.430161589196542,-0.429772602252461,0.186224709839751,0
pfd,0.0392127167546232,0.0671243901615319,0.26293842899181,1
