// {"ay_effect":["0.8"],"m_bin":[false],"z_bin":[false],"uz_effect":["NA"],"uw_effect":["NA"],"zmw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[1],"n_dgps":[1],"dgp_start":[1],"dataset_start":[20]}
// {"ubeta":[-0.938],"mbeta":[1.0794,-0.0092,0.8705,1.9676],"wbeta":[1.7787,0.6432,0.5165,-1.7529],"abeta":[-1.1761,-1.2938,0.7481,-0.4636],"ybeta":[-0.4799,0.8,1.7388,-1.1514,0.6067,-1.4978],"zbeta":[1.6328,-1.1933,1.5936],"cbeta":[-0.5115,0.2914],"sd_":[1],"true_effect":[0.8077]}
method,estimate,mean,width,coverage
truth,0.807713047049083,0,0,1
backdoor,-0.038537299504477,-0.0369428323652958,0.25578974791505,1
naive,-0.803600765552763,-0.804711068914983,0.135142183910516,0
simple,-3.27616938087218,-3.26627184523992,1.39234156776106,0
pfd,0.121088234678515,0.128740307102101,1.09553566456503,1
