// {"ay_effect":["0"],"m_bin":[false],"z_bin":[false],"uz_effect":["NA"],"uw_effect":["NA"],"zmw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[1],"n_dgps":[1],"dgp_start":[2],"dataset_start":[46]}
// {"ubeta":[-1.2605],"mbeta":[-0.3789,1.4142,1.9056,-1.0967],"wbeta":[-1.4834,1.3338,-0.1279,0.1999],"abeta":[0.2107,-1.0444,1.0421,-1.2767],"ybeta":[-0.2208,0,0.6476,-0.4498,1.3476,-1.398],"zbeta":[-1.3278,1.7754,1.7739],"cbeta":[0.8095,0.2933],"sd_":[1],"true_effect":[-0.8799]}
method,estimate,mean,width,coverage
truth,-0.879896237262246,0,0,1
backdoor,0.145080313019581,0.146335468405467,0.338877992873131,1
naive,-0.177704947319775,-0.173490467447732,0.186692753437165,0
simple,-0.663624020861372,-0.662060851662889,0.390784478859806,0
pfd,0.031486300266215,0.0384058642059085,0.478819738605887,1
