// {"zmw_effect":["0"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[4],"dataset_start":[21]}
// {"ubeta":[0.3432],"mbeta":[-0.3376,-0.1796,0,0.336],"wbeta":[0.8976,1.6244,0,-1.7074],"abeta":[1.0187,-0.856,-1.5998,1.8163],"ybeta":[1.8488,1.0468,0.858,1.9865,0.0251,-0.0402],"zbeta":[-0.8905,1.2543,-0.9583],"cbeta":[-1.9642,-0.825],"sd_":[1],"true_effect":[0.6901]}
method,estimate,mean,width,coverage
truth,0.690062146326129,0,0,1
backdoor,0.23960416235559,0.251067743575672,0.43844227510478,0
naive,-0.749466353949512,-0.735787240003489,0.38849187766302,0
simple,0.226856954018938,0.210829722554306,0.488223121530506,1
pfd,0.205604941743229,0.21724965744837,0.472437122178917,1
