// {"zmw_effect":["0"],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[1],"dataset_start":[21],"z_bin":[true],"m_bin":[true]}
// {"ubeta":[-0.938],"mbeta":[1.0794,-0.0092,0,1.9676],"wbeta":[1.7787,0.6432,0,-1.7529],"abeta":[-1.1761,-1.2938,0.7481,-0.4636],"ybeta":[-0.4799,1.1098,1.7388,-1.1514,0.6067,-1.4978],"zbeta":[1.6328,-1.1933,1.5936],"cbeta":[-0.5115,0.2914],"sd_":[1],"true_effect":[1.1118]}
method,estimate,mean,width,coverage
truth,1.11179137354698,0,0,1
backdoor,0.0489977977051896,0.0531032608113593,0.185091591222826,1
naive,-1.09307606275914,-1.09158024628501,0.0571748171578824,0
simple,-0.281164772609976,-0.299711670522532,0.883603369202226,1
pfd,-0.0624615579261336,-0.0226739818689554,1.20016732730881,1
