// {"zmw_effect":["0.8"],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[1],"n_dgps":[1],"dgp_start":[4],"dataset_start":[28],"z_bin":[true],"m_bin":[true]}
// {"ubeta":[0.3432],"mbeta":[-0.3376,-0.1796,0.8,0.336],"wbeta":[0.8976,1.6244,0.8,-1.7074],"abeta":[1.0187,-0.856,-1.5998,1.8163],"ybeta":[1.8488,1.0468,0.858,1.9865,0.0251,-0.0402],"zbeta":[-0.8905,1.2543,-0.9583],"cbeta":[-1.9642,-0.825],"sd_":[1],"true_effect":[0.96]}
method,estimate,mean,width,coverage
truth,0.96004831620211,0,0,1
backdoor,0.0446046350887789,0.0458831265357301,0.274911988152975,1
naive,-1.01267147721267,-1.01451614152706,0.183432303030023,0
simple,0.106098682320474,0.110386311998211,0.323604729526504,1
pfd,0.0398665131255006,0.0605757905814482,0.381926249025733,1
