// {"zmw_effect":["0.2"],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[4],"dataset_start":[33],"z_bin":[true],"m_bin":[true]}
// {"ubeta":[0.3432],"mbeta":[-0.3376,-0.1796,0.2,0.336],"wbeta":[0.8976,1.6244,0.2,-1.7074],"abeta":[1.0187,-0.856,-1.5998,1.8163],"ybeta":[1.8488,1.0468,0.858,1.9865,0.0251,-0.0402],"zbeta":[-0.8905,1.2543,-0.9583],"cbeta":[-1.9642,-0.825],"sd_":[1],"true_effect":[0.9593]}
method,estimate,mean,width,coverage
truth,0.959255714359658,0,0,1
backdoor,-0.00172502815683218,-0.0210451007158245,0.290355671220601,1
naive,-1.09983853967666,-1.10243411280529,0.12754115402961,0
simple,-0.0259393184744225,-0.0317559618079924,0.344392273180926,1
pfd,0.000643699221091421,-0.00053557307297647,0.338985352742023,1
