// {"ay_effect":["0"],"m_bin":[false],"z_bin":[false],"uz_effect":["NA"],"uw_effect":["NA"],"zmw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[1],"n_dgps":[1],"dgp_start":[3],"dataset_start":[30]}
// {"ubeta":[-1.3278],"mbeta":[1.4717,1.3188,-1.5542,0.8148],"wbeta":[-1.5015,-0.8216,0.3104,0.5239],"abeta":[0.0481,0.0201,0.1361,0.229],"ybeta":[1.59,0,-1.0872,-1.9387,-1.4841,-1.6265],"zbeta":[-0.6891,0.4084,0.4176],"cbeta":[1.2301,-0.4602],"sd_":[1],"true_effect":[-3.1644]}
method,estimate,mean,width,coverage
truth,-3.16440662767864,0,0,1
backdoor,0.0592875270880762,0.0625505606573067,0.359643863966049,1
naive,0.0282033128643322,0.0264028618158987,0.334003414353582,1
simple,2.01246550723414,2.05015629033331,0.77209911169765,0
pfd,0.0738603782871552,0.0648349695269816,0.341408316660172,1
