// {"uw_effect":["0.2"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"zmw_effect":["NA"],"uz_effect":["0.2"],"sample_sizes":["4000"],"save":[true],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[3],"dataset_start":[5],"outdir":["results/"]}
// {"ubeta":[-1.3278],"mbeta":[1.4717,1.3188,-1.5542,0.8148],"wbeta":[-1.5015,0.2,0.3104,0.5239],"abeta":[0.0481,0.0201,0.1361,0.229],"ybeta":[1.59,-0.8811,-1.0872,-1.9387,-1.4841,-1.6265],"zbeta":[-0.6891,0.2,0.4176],"cbeta":[1.2301,-0.4602],"sd_":[1],"true_effect":[-4.0455]}
method,estimate,mean,width,coverage
truth,-4.04547641266264,0,0,1
backdoor,0.0444310293512356,0.0400464955358517,0.320660977861175,1
naive,0.701241439031718,0.679673211326553,0.335114180644074,0
simple,3.08083277601829,3.07195076612825,0.863558214696493,0
pfd,-0.147257479379126,-0.127064386535054,0.549329690793073,1
