// {"zmw_effect":["0.8"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[4],"dataset_start":[9]}
// {"ubeta":[0.3432],"mbeta":[-0.3376,-0.1796,0.8,0.336],"wbeta":[0.8976,1.6244,0.8,-1.7074],"abeta":[1.0187,-0.856,-1.5998,1.8163],"ybeta":[1.8488,1.0468,0.858,1.9865,0.0251,-0.0402],"zbeta":[-0.8905,1.2543,-0.9583],"cbeta":[-1.9642,-0.825],"sd_":[1],"true_effect":[0.6865]}
method,estimate,mean,width,coverage
truth,0.686458332001386,0,0,1
backdoor,0.00280835905428878,-0.0156943422251444,0.496659355900004,1
naive,-1.06234605834681,-1.07045150464615,0.361717552758164,0
simple,0.327140682502681,0.341358736667502,0.372101182379995,0
pfd,0.0448855318081464,0.067908049121173,0.365408229920126,1
