// {"zmw_effect":["0.4"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[1],"dataset_start":[45]}
// {"ubeta":[-0.938],"mbeta":[1.0794,-0.0092,0.4,1.9676],"wbeta":[1.7787,0.6432,0.4,-1.7529],"abeta":[-1.1761,-1.2938,0.7481,-0.4636],"ybeta":[-0.4799,1.1098,1.7388,-1.1514,0.6067,-1.4978],"zbeta":[1.6328,-1.1933,1.5936],"cbeta":[-0.5115,0.2914],"sd_":[1],"true_effect":[1.1181]}
method,estimate,mean,width,coverage
truth,1.11814415768515,0,0,1
backdoor,-0.0712121808951847,-0.0741977210661631,0.23845607559592,1
naive,-1.1187474120043,-1.10765239832927,0.178170672332299,0
simple,2.63416181829917,2.5797179938187,3.78729212992896,0
pfd,-0.138112655841989,-0.0833898321752906,0.70192472042491,1
