// {"ay_effect":["0.4"],"m_bin":[false],"z_bin":[false],"uz_effect":["NA"],"uw_effect":["NA"],"zmw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[1],"n_dgps":[1],"dgp_start":[3],"dataset_start":[58]}
// {"ubeta":[-1.3278],"mbeta":[1.4717,1.3188,-1.5542,0.8148],"wbeta":[-1.5015,-0.8216,0.3104,0.5239],"abeta":[0.0481,0.0201,0.1361,0.229],"ybeta":[1.59,0.4,-1.0872,-1.9387,-1.4841,-1.6265],"zbeta":[-0.6891,0.4084,0.4176],"cbeta":[1.2301,-0.4602],"sd_":[1],"true_effect":[-2.7644]}
method,estimate,mean,width,coverage
truth,-2.76440662767864,0,0,1
backdoor,-0.190604146105416,-0.176794672460439,0.375232558017948,1
naive,-0.405549922961106,-0.388441264377964,0.307031744006645,0
simple,2.13209292591934,2.11245683175366,0.692173455504241,0
pfd,-0.082677840638167,-0.0781127400638257,0.444151361818871,1
