// {"uw_effect":["0.8"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"zmw_effect":["NA"],"uz_effect":["0.8"],"sample_sizes":["4000"],"save":[true],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[2],"dataset_start":[41],"outdir":["results/"]}
// {"ubeta":[-1.2605],"mbeta":[-0.3789,1.4142,1.9056,-1.0967],"wbeta":[-1.4834,0.8,-0.1279,0.1999],"abeta":[0.2107,-1.0444,1.0421,-1.2767],"ybeta":[-0.2208,-1.7001,0.6476,-0.4498,1.3476,-1.398],"zbeta":[-1.3278,0.8,1.7739],"cbeta":[0.8095,0.2933],"sd_":[1],"true_effect":[-2.58]}
method,estimate,mean,width,coverage
truth,-2.57997853842443,0,0,1
backdoor,0.0876006811989272,0.0810007220368099,0.227542262493456,1
naive,0.995156164437643,0.989634251078486,0.227506061242442,0
simple,-1.71515635896888,-1.71598067474254,0.757432934235046,0
pfd,0.0531641162211982,0.0511034818130098,0.452266442639483,1
