// {"uw_effect":["0.2"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"zmw_effect":["NA"],"uz_effect":["0.2"],"sample_sizes":["4000"],"save":[true],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[2],"dataset_start":[45],"outdir":["results/"]}
// {"ubeta":[-1.2605],"mbeta":[-0.3789,1.4142,1.9056,-1.0967],"wbeta":[-1.4834,0.2,-0.1279,0.1999],"abeta":[0.2107,-1.0444,1.0421,-1.2767],"ybeta":[-0.2208,-1.7001,0.6476,-0.4498,1.3476,-1.398],"zbeta":[-1.3278,0.2,1.7739],"cbeta":[0.8095,0.2933],"sd_":[1],"true_effect":[-2.58]}
method,estimate,mean,width,coverage
truth,-2.57997853842443,0,0,1
backdoor,0.0353593021751557,0.0470788252949741,0.258323766020112,1
naive,1.03199063068529,1.01661501267861,0.202233131797766,0
simple,0.992545718987243,0.961025634931867,0.670512258981164,0
pfd,0.305595219434415,-0.414586508015054,1.88880278467071,1
