// {"uw_effect":["0.2"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"zmw_effect":["NA"],"uz_effect":["0.2"],"sample_sizes":["4000"],"save":[true],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[4],"dataset_start":[1],"outdir":["results/"]}
// {"ubeta":[0.3432],"mbeta":[-0.3376,-0.1796,1.8842,0.336],"wbeta":[0.8976,0.2,1.7962,-1.7074],"abeta":[1.0187,-0.856,-1.5998,1.8163],"ybeta":[1.8488,1.0468,0.858,1.9865,0.0251,-0.0402],"zbeta":[-0.8905,0.2,-0.9583],"cbeta":[-1.9642,-0.825],"sd_":[1],"true_effect":[0.682]}
method,estimate,mean,width,coverage
truth,0.681970858421094,0,0,1
backdoor,-0.205028183473987,-0.200120336367859,0.473949594875456,1
naive,-1.33134391746496,-1.31359125308219,0.530508935325714,0
simple,0.302033105304584,0.287934713631184,0.299058409050642,0
pfd,-0.282767779190148,-0.370471255954034,0.895993359137107,1
