// {"zmw_effect":["0"],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[3],"dataset_start":[37],"z_bin":[true],"m_bin":[true]}
// {"ubeta":[-1.3278],"mbeta":[1.4717,1.3188,0,0.8148],"wbeta":[-1.5015,-0.8216,0,0.5239],"abeta":[0.0481,0.0201,0.1361,0.229],"ybeta":[1.59,-0.8811,-1.0872,-1.9387,-1.4841,-1.6265],"zbeta":[-0.6891,0.4084,0.4176],"cbeta":[1.2301,-0.4602],"sd_":[1],"true_effect":[-1.1309]}
method,estimate,mean,width,coverage
truth,-1.13086623608894,0,0,1
backdoor,0.179630596066852,0.175907471355891,0.227818232218927,0
naive,1.05428551735394,1.05029755022282,0.0607064558628348,0
simple,0.178381583328037,0.184105258328342,0.246833181298413,0
pfd,0.0561116709416865,0.0573978598038249,0.416675730299656,1
