// {"zmw_effect":["0"],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[4],"dataset_start":[45],"z_bin":[true],"m_bin":[true]}
// {"ubeta":[0.3432],"mbeta":[-0.3376,-0.1796,0,0.336],"wbeta":[0.8976,1.6244,0,-1.7074],"abeta":[1.0187,-0.856,-1.5998,1.8163],"ybeta":[1.8488,1.0468,0.858,1.9865,0.0251,-0.0402],"zbeta":[-0.8905,1.2543,-0.9583],"cbeta":[-1.9642,-0.825],"sd_":[1],"true_effect":[0.9616]}
method,estimate,mean,width,coverage
truth,0.961623867593891,0,0,1
backdoor,-0.0343389013603304,-0.0250763577704332,0.289061362576985,1
naive,-1.06766370425865,-1.05910395640969,0.139649322046253,0
simple,-0.0352627678596019,-0.0374810987178319,0.422594844434748,1
pfd,-0.0369687737740871,-0.0572320293708326,0.322567448904249,1
