// {"zmw_effect":["0.4"],"m_bin":[false],"z_bin":[false],"ay_effect":["NA"],"uz_effect":["NA"],"uw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[4],"n_dgps":[1],"dgp_start":[1],"dataset_start":[49]}
// {"ubeta":[-0.938],"mbeta":[1.0794,-0.0092,0.4,1.9676],"wbeta":[1.7787,0.6432,0.4,-1.7529],"abeta":[-1.1761,-1.2938,0.7481,-0.4636],"ybeta":[-0.4799,1.1098,1.7388,-1.1514,0.6067,-1.4978],"zbeta":[1.6328,-1.1933,1.5936],"cbeta":[-0.5115,0.2914],"sd_":[1],"true_effect":[1.1181]}
method,estimate,mean,width,coverage
truth,1.11814415768515,0,0,1
backdoor,0.0931612566087514,0.099465540305733,0.256788305382434,1
naive,-1.10194993637117,-1.10396640853539,0.14391788026072,0
simple,1.05835445836111,1.28189208351847,2.9707603065326,1
pfd,-0.0636062941509901,-0.093302349542582,0.555424881455997,1
