// {"ay_effect":["0.4"],"m_bin":[false],"z_bin":[false],"uz_effect":["NA"],"uw_effect":["NA"],"zmw_effect":["NA"],"sample_sizes":["4000"],"save":[true],"outdir":["results/"],"n_bootstrap":[64],"n_datasets":[1],"n_dgps":[1],"dgp_start":[4],"dataset_start":[47]}
// {"ubeta":[0.3432],"mbeta":[-0.3376,-0.1796,1.8842,0.336],"wbeta":[0.8976,1.6244,1.7962,-1.7074],"abeta":[1.0187,-0.856,-1.5998,1.8163],"ybeta":[1.8488,0.4,0.858,1.9865,0.0251,-0.0402],"zbeta":[-0.8905,1.2543,-0.9583],"cbeta":[-1.9642,-0.825],"sd_":[1],"true_effect":[0.0352]}
method,estimate,mean,width,coverage
truth,0.0351612456477352,0,0,1
backdoor,0.158595371248371,0.153957229623804,0.471795486972162,1
naive,-0.317817071098628,-0.343922074408269,0.352944557601858,0
simple,0.493112680491172,0.500647550622719,0.336618988325558,0
pfd,0.195900174358173,0.195144080218656,0.423111874155727,1
